Function,Derivative
- \frac{\log{\left(3 x^{2} \right)} \cos{\left(4 x^{2} \right)}}{5 x^{3}},\frac{8 \log{\left(3 x^{2} \right)} \sin{\left(4 x^{2} \right)}}{5 x^{2}} + \frac{3 \log{\left(3 x^{2} \right)} \cos{\left(4 x^{2} \right)}}{5 x^{4}} - \frac{2 \cos{\left(4 x^{2} \right)}}{5 x^{4}}
0,0
- \frac{\log{\left(10 x^{2} \right)}}{5 x},\frac{\log{\left(10 x^{2} \right)}}{5 x^{2}} - \frac{2}{5 x^{2}}
0,0
\frac{\sin{\left(10 x \right)} \sin{\left(3 x^{3} \right)}}{\cos{\left(9 x \right)}},\frac{9 x^{2} \sin{\left(10 x \right)} \cos{\left(3 x^{3} \right)}}{\cos{\left(9 x \right)}} + \frac{9 \sin{\left(9 x \right)} \sin{\left(10 x \right)} \sin{\left(3 x^{3} \right)}}{\cos^{2}{\left(9 x \right)}} + \frac{10 \sin{\left(3 x^{3} \right)} \cos{\left(10 x \right)}}{\cos{\left(9 x \right)}}
- \frac{e^{- x} \cos{\left(x \right)}}{2 x},\frac{e^{- x} \sin{\left(x \right)}}{2 x} + \frac{e^{- x} \cos{\left(x \right)}}{2 x} + \frac{e^{- x} \cos{\left(x \right)}}{2 x^{2}}
- 56 x^{5} e^{x},- 56 x^{5} e^{x} - 280 x^{4} e^{x}
3 x^{2} e^{6 x^{2}},36 x^{3} e^{6 x^{2}} + 6 x e^{6 x^{2}}
12 x^{4},48 x^{3}
- \frac{\log{\left(5 x^{2} \right)}}{4 x^{2}},\frac{\log{\left(5 x^{2} \right)}}{2 x^{3}} - \frac{1}{2 x^{3}}
- 3 \sin{\left(7 x \right)},- 21 \cos{\left(7 x \right)}
\frac{5 x e^{- 4 x} e^{- 3 x^{2}}}{8},- \frac{15 x^{2} e^{- 4 x} e^{- 3 x^{2}}}{4} - \frac{5 x e^{- 4 x} e^{- 3 x^{2}}}{2} + \frac{5 e^{- 4 x} e^{- 3 x^{2}}}{8}
\frac{4 x^{2}}{\cos{\left(2 x \right)}},\frac{8 x^{2} \sin{\left(2 x \right)}}{\cos^{2}{\left(2 x \right)}} + \frac{8 x}{\cos{\left(2 x \right)}}
- 56 x^{4} e^{- 3 x^{2}},336 x^{5} e^{- 3 x^{2}} - 224 x^{3} e^{- 3 x^{2}}
- \frac{21}{2 x},\frac{21}{2 x^{2}}
\frac{1}{\log{\left(5 x \right)} \cos{\left(5 x \right)}},\frac{5 \sin{\left(5 x \right)}}{\log{\left(5 x \right)} \cos^{2}{\left(5 x \right)}} - \frac{1}{x \log{\left(5 x \right)}^{2} \cos{\left(5 x \right)}}
- \frac{3 x}{\log{\left(9 x^{3} \right)}},- \frac{3}{\log{\left(9 x^{3} \right)}} + \frac{9}{\log{\left(9 x^{3} \right)}^{2}}
x^{3} e^{- 4 x^{3}} \sin{\left(x^{3} \right)},- 12 x^{5} e^{- 4 x^{3}} \sin{\left(x^{3} \right)} + 3 x^{5} e^{- 4 x^{3}} \cos{\left(x^{3} \right)} + 3 x^{2} e^{- 4 x^{3}} \sin{\left(x^{3} \right)}
- \frac{\cos{\left(5 x^{3} \right)}}{10 x^{2}},\frac{3 \sin{\left(5 x^{3} \right)}}{2} + \frac{\cos{\left(5 x^{3} \right)}}{5 x^{3}}
\frac{9 e^{8 x^{3}}}{x^{2}},216 e^{8 x^{3}} - \frac{18 e^{8 x^{3}}}{x^{3}}
\frac{e^{7 x}}{\cos{\left(6 x \right)}},\frac{6 e^{7 x} \sin{\left(6 x \right)}}{\cos^{2}{\left(6 x \right)}} + \frac{7 e^{7 x}}{\cos{\left(6 x \right)}}
- 28 x^{2} \log{\left(4 x \right)},- 56 x \log{\left(4 x \right)} - 28 x
\frac{e^{- 3 x^{3}}}{\log{\left(8 x \right)}},- \frac{9 x^{2} e^{- 3 x^{3}}}{\log{\left(8 x \right)}} - \frac{e^{- 3 x^{3}}}{x \log{\left(8 x \right)}^{2}}
- 5 x \log{\left(10 x^{2} \right)},- 5 \log{\left(10 x^{2} \right)} - 10
0,0
0,0
\frac{6 x^{2}}{\cos{\left(10 x^{2} \right)}},\frac{120 x^{3} \sin{\left(10 x^{2} \right)}}{\cos^{2}{\left(10 x^{2} \right)}} + \frac{12 x}{\cos{\left(10 x^{2} \right)}}
- \frac{6 x^{2}}{\log{\left(- 8 x \right)} \log{\left(- 5 x^{2} \right)} \cos{\left(5 x \right)}},- \frac{30 x^{2} \sin{\left(5 x \right)}}{\log{\left(- 8 x \right)} \log{\left(- 5 x^{2} \right)} \cos^{2}{\left(5 x \right)}} - \frac{12 x}{\log{\left(- 8 x \right)} \log{\left(- 5 x^{2} \right)} \cos{\left(5 x \right)}} + \frac{12 x}{\log{\left(- 8 x \right)} \log{\left(- 5 x^{2} \right)}^{2} \cos{\left(5 x \right)}} + \frac{6 x}{\log{\left(- 8 x \right)}^{2} \log{\left(- 5 x^{2} \right)} \cos{\left(5 x \right)}}
\frac{x \log{\left(- 3 x^{2} \right)}}{3 \sin{\left(4 x^{3} \right)}},- \frac{4 x^{3} \log{\left(- 3 x^{2} \right)} \cos{\left(4 x^{3} \right)}}{\sin^{2}{\left(4 x^{3} \right)}} + \frac{\log{\left(- 3 x^{2} \right)}}{3 \sin{\left(4 x^{3} \right)}} + \frac{2}{3 \sin{\left(4 x^{3} \right)}}
- \frac{x^{4}}{3},- \frac{4 x^{3}}{3}
- \frac{3 e^{3 x^{2}}}{5 \log{\left(2 x^{3} \right)}},- \frac{18 x e^{3 x^{2}}}{5 \log{\left(2 x^{3} \right)}} + \frac{9 e^{3 x^{2}}}{5 x \log{\left(2 x^{3} \right)}^{2}}
4 x \log{\left(- 10 x^{3} \right)},4 \log{\left(- 10 x^{3} \right)} + 12
45 x^{5},225 x^{4}
\frac{70 x^{5}}{\cos{\left(7 x \right)}},\frac{490 x^{5} \sin{\left(7 x \right)}}{\cos^{2}{\left(7 x \right)}} + \frac{350 x^{4}}{\cos{\left(7 x \right)}}
- \frac{18 x^{2} \sin{\left(8 x^{2} \right)}}{5},- \frac{288 x^{3} \cos{\left(8 x^{2} \right)}}{5} - \frac{36 x \sin{\left(8 x^{2} \right)}}{5}
- 5 x \cos{\left(6 x^{2} \right)},60 x^{2} \sin{\left(6 x^{2} \right)} - 5 \cos{\left(6 x^{2} \right)}
\frac{10 x^{2} \log{\left(8 x \right)}}{\log{\left(- 2 x^{3} \right)}},\frac{20 x \log{\left(8 x \right)}}{\log{\left(- 2 x^{3} \right)}} - \frac{30 x \log{\left(8 x \right)}}{\log{\left(- 2 x^{3} \right)}^{2}} + \frac{10 x}{\log{\left(- 2 x^{3} \right)}}
\frac{2}{5},0
\frac{7 x}{2},\frac{7}{2}
- 9 x^{4} e^{- 3 x^{3}} \sin{\left(2 x^{2} \right)},81 x^{6} e^{- 3 x^{3}} \sin{\left(2 x^{2} \right)} - 36 x^{5} e^{- 3 x^{3}} \cos{\left(2 x^{2} \right)} - 36 x^{3} e^{- 3 x^{3}} \sin{\left(2 x^{2} \right)}
0,0
- \frac{7}{5},0
0,0
10 x^{6} \log{\left(x \right)} \log{\left(9 x \right)},60 x^{5} \log{\left(x \right)} \log{\left(9 x \right)} + 10 x^{5} \log{\left(x \right)} + 10 x^{5} \log{\left(9 x \right)}
- \frac{\sin{\left(x^{2} \right)}}{\log{\left(- 3 x^{3} \right)}},- \frac{2 x \cos{\left(x^{2} \right)}}{\log{\left(- 3 x^{3} \right)}} + \frac{3 \sin{\left(x^{2} \right)}}{x \log{\left(- 3 x^{3} \right)}^{2}}
\frac{\log{\left(7 x^{2} \right)}}{90 x^{3}},- \frac{\log{\left(7 x^{2} \right)}}{30 x^{4}} + \frac{1}{45 x^{4}}
- \frac{e^{4 x^{2}}}{7 x^{3}},- \frac{8 e^{4 x^{2}}}{7 x^{2}} + \frac{3 e^{4 x^{2}}}{7 x^{4}}
\sin{\left(4 x \right)} \sin{\left(2 x^{2} \right)},4 x \sin{\left(4 x \right)} \cos{\left(2 x^{2} \right)} + 4 \sin{\left(2 x^{2} \right)} \cos{\left(4 x \right)}
- \sin{\left(3 x \right)} \cos{\left(7 x \right)},7 \sin{\left(3 x \right)} \sin{\left(7 x \right)} - 3 \cos{\left(3 x \right)} \cos{\left(7 x \right)}
\frac{\sin{\left(2 x \right)}}{180 x^{5}},\frac{\cos{\left(2 x \right)}}{90 x^{5}} - \frac{\sin{\left(2 x \right)}}{36 x^{6}}
\frac{e^{6 x} \log{\left(- 7 x^{3} \right)}}{\log{\left(4 x^{2} \right)} \sin{\left(4 x^{3} \right)}},- \frac{12 x^{2} e^{6 x} \log{\left(- 7 x^{3} \right)} \cos{\left(4 x^{3} \right)}}{\log{\left(4 x^{2} \right)} \sin^{2}{\left(4 x^{3} \right)}} + \frac{6 e^{6 x} \log{\left(- 7 x^{3} \right)}}{\log{\left(4 x^{2} \right)} \sin{\left(4 x^{3} \right)}} + \frac{3 e^{6 x}}{x \log{\left(4 x^{2} \right)} \sin{\left(4 x^{3} \right)}} - \frac{2 e^{6 x} \log{\left(- 7 x^{3} \right)}}{x \log{\left(4 x^{2} \right)}^{2} \sin{\left(4 x^{3} \right)}}
- \frac{7 \cos{\left(9 x \right)}}{16 x^{2}},\frac{63 \sin{\left(9 x \right)}}{16 x^{2}} + \frac{7 \cos{\left(9 x \right)}}{8 x^{3}}
\frac{\sin{\left(9 x^{2} \right)}}{4 x \log{\left(10 x^{3} \right)}},\frac{9 \cos{\left(9 x^{2} \right)}}{2 \log{\left(10 x^{3} \right)}} - \frac{\sin{\left(9 x^{2} \right)}}{4 x^{2} \log{\left(10 x^{3} \right)}} - \frac{3 \sin{\left(9 x^{2} \right)}}{4 x^{2} \log{\left(10 x^{3} \right)}^{2}}
0,0
- 63 x^{4} e^{x} e^{3 x^{3}},- 567 x^{6} e^{x} e^{3 x^{3}} - 63 x^{4} e^{x} e^{3 x^{3}} - 252 x^{3} e^{x} e^{3 x^{3}}
\frac{e^{5 x} e^{- 7 x^{2}} e^{- 7 x^{3}}}{8 x},- \frac{21 x e^{5 x} e^{- 7 x^{2}} e^{- 7 x^{3}}}{8} - \frac{7 e^{5 x} e^{- 7 x^{2}} e^{- 7 x^{3}}}{4} + \frac{5 e^{5 x} e^{- 7 x^{2}} e^{- 7 x^{3}}}{8 x} - \frac{e^{5 x} e^{- 7 x^{2}} e^{- 7 x^{3}}}{8 x^{2}}
\frac{x \sin{\left(8 x \right)}}{6 \log{\left(- 10 x \right)}},\frac{4 x \cos{\left(8 x \right)}}{3 \log{\left(- 10 x \right)}} + \frac{\sin{\left(8 x \right)}}{6 \log{\left(- 10 x \right)}} - \frac{\sin{\left(8 x \right)}}{6 \log{\left(- 10 x \right)}^{2}}
x^{2} \sin{\left(8 x^{3} \right)},24 x^{4} \cos{\left(8 x^{3} \right)} + 2 x \sin{\left(8 x^{3} \right)}
\frac{e^{9 x}}{4 x^{3}},\frac{9 e^{9 x}}{4 x^{3}} - \frac{3 e^{9 x}}{4 x^{4}}
\frac{e^{4 x^{3}}}{6 x},2 x e^{4 x^{3}} - \frac{e^{4 x^{3}}}{6 x^{2}}
\frac{e^{- 9 x}}{20 x^{4} \sin{\left(x^{2} \right)}},- \frac{e^{- 9 x} \cos{\left(x^{2} \right)}}{10 x^{3} \sin^{2}{\left(x^{2} \right)}} - \frac{9 e^{- 9 x}}{20 x^{4} \sin{\left(x^{2} \right)}} - \frac{e^{- 9 x}}{5 x^{5} \sin{\left(x^{2} \right)}}
- 24 x^{5} e^{10 x^{2}} \log{\left(- 8 x^{2} \right)},- 480 x^{6} e^{10 x^{2}} \log{\left(- 8 x^{2} \right)} - 120 x^{4} e^{10 x^{2}} \log{\left(- 8 x^{2} \right)} - 48 x^{4} e^{10 x^{2}}
- \frac{\log{\left(- 10 x^{2} \right)}}{7},- \frac{2}{7 x}
\frac{x^{3} \cos{\left(6 x^{3} \right)}}{\sin{\left(3 x^{2} \right)}},- \frac{18 x^{5} \sin{\left(6 x^{3} \right)}}{\sin{\left(3 x^{2} \right)}} - \frac{6 x^{4} \cos{\left(3 x^{2} \right)} \cos{\left(6 x^{3} \right)}}{\sin^{2}{\left(3 x^{2} \right)}} + \frac{3 x^{2} \cos{\left(6 x^{3} \right)}}{\sin{\left(3 x^{2} \right)}}
\frac{\sin{\left(10 x \right)} \cos{\left(9 x \right)}}{10 x^{2} \cos{\left(6 x^{2} \right)}},\frac{6 \sin{\left(10 x \right)} \sin{\left(6 x^{2} \right)} \cos{\left(9 x \right)}}{5 x \cos^{2}{\left(6 x^{2} \right)}} - \frac{9 \sin{\left(9 x \right)} \sin{\left(10 x \right)}}{10 x^{2} \cos{\left(6 x^{2} \right)}} + \frac{\cos{\left(9 x \right)} \cos{\left(10 x \right)}}{x^{2} \cos{\left(6 x^{2} \right)}} - \frac{\sin{\left(10 x \right)} \cos{\left(9 x \right)}}{5 x^{3} \cos{\left(6 x^{2} \right)}}
\frac{1}{x^{2}},- \frac{2}{x^{3}}
\frac{9 x^{3} e^{- 9 x^{2}}}{\sin{\left(x^{2} \right)} \sin{\left(4 x^{2} \right)}},- \frac{162 x^{4} e^{- 9 x^{2}}}{\sin{\left(x^{2} \right)} \sin{\left(4 x^{2} \right)}} - \frac{72 x^{4} e^{- 9 x^{2}} \cos{\left(4 x^{2} \right)}}{\sin{\left(x^{2} \right)} \sin^{2}{\left(4 x^{2} \right)}} - \frac{18 x^{4} e^{- 9 x^{2}} \cos{\left(x^{2} \right)}}{\sin^{2}{\left(x^{2} \right)} \sin{\left(4 x^{2} \right)}} + \frac{27 x^{2} e^{- 9 x^{2}}}{\sin{\left(x^{2} \right)} \sin{\left(4 x^{2} \right)}}
- \frac{40 x^{2} \sin{\left(8 x^{3} \right)}}{\sin{\left(9 x^{2} \right)}},- \frac{960 x^{4} \cos{\left(8 x^{3} \right)}}{\sin{\left(9 x^{2} \right)}} + \frac{720 x^{3} \sin{\left(8 x^{3} \right)} \cos{\left(9 x^{2} \right)}}{\sin^{2}{\left(9 x^{2} \right)}} - \frac{80 x \sin{\left(8 x^{3} \right)}}{\sin{\left(9 x^{2} \right)}}
x^{2} e^{- 3 x^{2}} e^{6 x^{3}} \log{\left(- 8 x^{2} \right)},18 x^{4} e^{- 3 x^{2}} e^{6 x^{3}} \log{\left(- 8 x^{2} \right)} - 6 x^{3} e^{- 3 x^{2}} e^{6 x^{3}} \log{\left(- 8 x^{2} \right)} + 2 x e^{- 3 x^{2}} e^{6 x^{3}} \log{\left(- 8 x^{2} \right)} + 2 x e^{- 3 x^{2}} e^{6 x^{3}}
- \frac{e^{- 14 x^{3}}}{x^{3}},\frac{42 e^{- 14 x^{3}}}{x} + \frac{3 e^{- 14 x^{3}}}{x^{4}}
6 x e^{- 6 x^{2}},- 72 x^{2} e^{- 6 x^{2}} + 6 e^{- 6 x^{2}}
- 4 x^{2} \cos{\left(4 x \right)},16 x^{2} \sin{\left(4 x \right)} - 8 x \cos{\left(4 x \right)}
\frac{9 x e^{- 7 x^{3}}}{\cos{\left(6 x \right)}},- \frac{189 x^{3} e^{- 7 x^{3}}}{\cos{\left(6 x \right)}} + \frac{54 x e^{- 7 x^{3}} \sin{\left(6 x \right)}}{\cos^{2}{\left(6 x \right)}} + \frac{9 e^{- 7 x^{3}}}{\cos{\left(6 x \right)}}
9 x^{2} e^{3 x^{3}} \log{\left(x^{3} \right)},81 x^{4} e^{3 x^{3}} \log{\left(x^{3} \right)} + 18 x e^{3 x^{3}} \log{\left(x^{3} \right)} + 27 x e^{3 x^{3}}
- 8 e^{5 x},- 40 e^{5 x}
- 8 x e^{7 x} \log{\left(4 x^{3} \right)},- 56 x e^{7 x} \log{\left(4 x^{3} \right)} - 8 e^{7 x} \log{\left(4 x^{3} \right)} - 24 e^{7 x}
- 9 x^{3} e^{- 3 x^{2}},54 x^{4} e^{- 3 x^{2}} - 27 x^{2} e^{- 3 x^{2}}
- \frac{7 x^{3} e^{- 6 x}}{\log{\left(5 x^{3} \right)}},\frac{42 x^{3} e^{- 6 x}}{\log{\left(5 x^{3} \right)}} - \frac{21 x^{2} e^{- 6 x}}{\log{\left(5 x^{3} \right)}} + \frac{21 x^{2} e^{- 6 x}}{\log{\left(5 x^{3} \right)}^{2}}
7 x^{3} \cos{\left(10 x^{2} \right)},- 140 x^{4} \sin{\left(10 x^{2} \right)} + 21 x^{2} \cos{\left(10 x^{2} \right)}
- 24 x^{3} \sin{\left(3 x^{2} \right)},- 144 x^{4} \cos{\left(3 x^{2} \right)} - 72 x^{2} \sin{\left(3 x^{2} \right)}
- \frac{e^{5 x^{3}}}{5 x^{4}},- \frac{3 e^{5 x^{3}}}{x^{2}} + \frac{4 e^{5 x^{3}}}{5 x^{5}}
\frac{9 x^{3} e^{x^{2}}}{\sin{\left(8 x^{2} \right)}},\frac{18 x^{4} e^{x^{2}}}{\sin{\left(8 x^{2} \right)}} - \frac{144 x^{4} e^{x^{2}} \cos{\left(8 x^{2} \right)}}{\sin^{2}{\left(8 x^{2} \right)}} + \frac{27 x^{2} e^{x^{2}}}{\sin{\left(8 x^{2} \right)}}
\frac{x^{2}}{10},\frac{x}{5}
- \frac{x^{2} \log{\left(- 5 x \right)} \sin{\left(9 x^{2} \right)}}{4},- \frac{9 x^{3} \log{\left(- 5 x \right)} \cos{\left(9 x^{2} \right)}}{2} - \frac{x \log{\left(- 5 x \right)} \sin{\left(9 x^{2} \right)}}{2} - \frac{x \sin{\left(9 x^{2} \right)}}{4}
- 54 x^{6},- 324 x^{5}
- 40 x^{5} e^{8 x^{2}},- 640 x^{6} e^{8 x^{2}} - 200 x^{4} e^{8 x^{2}}
0,0
- \frac{324 x^{7}}{\log{\left(10 x \right)}},- \frac{2268 x^{6}}{\log{\left(10 x \right)}} + \frac{324 x^{6}}{\log{\left(10 x \right)}^{2}}
\frac{9 x^{3}}{\cos{\left(9 x \right)}},\frac{81 x^{3} \sin{\left(9 x \right)}}{\cos^{2}{\left(9 x \right)}} + \frac{27 x^{2}}{\cos{\left(9 x \right)}}
\frac{e^{4 x} \cos{\left(2 x^{3} \right)}}{4 x^{2}},- \frac{3 e^{4 x} \sin{\left(2 x^{3} \right)}}{2} + \frac{e^{4 x} \cos{\left(2 x^{3} \right)}}{x^{2}} - \frac{e^{4 x} \cos{\left(2 x^{3} \right)}}{2 x^{3}}
- \frac{14 x^{2} \sin{\left(2 x \right)}}{5},- \frac{28 x^{2} \cos{\left(2 x \right)}}{5} - \frac{28 x \sin{\left(2 x \right)}}{5}
- 5 x^{3} \log{\left(- 7 x \right)},- 15 x^{2} \log{\left(- 7 x \right)} - 5 x^{2}
0,0
x^{3} \sin{\left(4 x^{3} \right)},12 x^{5} \cos{\left(4 x^{3} \right)} + 3 x^{2} \sin{\left(4 x^{3} \right)}
\frac{x e^{- 8 x}}{3},- \frac{8 x e^{- 8 x}}{3} + \frac{e^{- 8 x}}{3}
- 6 x \sin{\left(6 x^{2} \right)} \cos{\left(6 x^{2} \right)},72 x^{2} \sin^{2}{\left(6 x^{2} \right)} - 72 x^{2} \cos^{2}{\left(6 x^{2} \right)} - 6 \sin{\left(6 x^{2} \right)} \cos{\left(6 x^{2} \right)}
18 x^{5} e^{- 8 x^{2}},- 288 x^{6} e^{- 8 x^{2}} + 90 x^{4} e^{- 8 x^{2}}
- \frac{90 x^{4} e^{8 x}}{\sin{\left(8 x \right)}},- \frac{720 x^{4} e^{8 x}}{\sin{\left(8 x \right)}} + \frac{720 x^{4} e^{8 x} \cos{\left(8 x \right)}}{\sin^{2}{\left(8 x \right)}} - \frac{360 x^{3} e^{8 x}}{\sin{\left(8 x \right)}}
